City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
17,Torbay,CA,35.28,light rain,47.6666,-52.7314,Gallows Cove
32,Iisaku,EE,37.22,overcast clouds,59.1014,27.3081,Raja Country House
36,Nizhnevartovsk,RU,30.22,broken clouds,60.9344,76.5531,Luch
39,Liepaja,LV,40.98,light rain,56.5419,21.0367,Promenade Hotel
49,Severo-Kurilsk,RU,32.07,overcast clouds,50.6789,156.125,Kak Doma
53,Klaksvik,FO,36.52,overcast clouds,62.2266,-6.589,Airbnb rooms
66,Terrace,CA,35.51,mist,54.5163,-128.6035,Northern Motor Inn
82,Saint Anthony,US,34.25,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
83,Asau,RO,45.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
99,Hailar,CN,43.93,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
103,Valkeakoski,FI,32.38,light snow,61.2642,24.0312,Hotel Waltikka
135,Thompson,CA,42.96,clear sky,55.7435,-97.8558,Burntwood Hotel
139,Norman Wells,CA,39.24,few clouds,65.282,-126.8329,Heritage Hotel
140,Yellowknife,CA,37.92,few clouds,62.456,-114.3525,The Explorer Hotel
143,Vardo,NO,32.04,broken clouds,70.3705,31.1107,Vardø Hotel AS
149,Vestmannaeyjar,IS,34.56,overcast clouds,63.4427,-20.2734,Glamping & Camping
163,Lasa,IT,45.48,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
165,Strandby,DK,36.54,overcast clouds,57.4915,10.4961,Brattenstrand Holiday Apartments
167,Bethel,US,49.77,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
206,Kinsale,IE,40.37,clear sky,51.7075,-8.5306,Actons Hotel Kinsale
222,Betsiamites,CA,39.29,broken clouds,48.9413,-68.646,Pourvoirie du lac des îles
225,Kodiak,US,38.71,moderate rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
226,Poronaysk,RU,32.67,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
228,Lisakovsk,KZ,33.76,clear sky,52.5369,62.4936,Gostinitsa Lisakovsk
233,Nemuro,JP,32.59,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
239,Gillette,US,45.95,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
244,Nikolskoye,RU,41.72,overcast clouds,59.7035,30.7861,Tourist House - Sablino
246,Smithers,CA,39.52,light rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
247,Jamestown,US,43.95,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
253,Ilmajoki,FI,30.76,overcast clouds,62.7333,22.5667,Ilmajoen Kestikartano
257,Lyuban,BY,49.77,overcast clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
264,Mandalgovi,MN,46.78,broken clouds,45.7625,106.2708,В.Ганбат
265,Aklavik,CA,33.8,broken clouds,68.2191,-135.0107,Aklavik Inn
271,Songjianghe,CN,37.04,clear sky,42.1859,127.479,Sijisheng Fashion Guest House
273,Punta Arenas,CL,42.91,clear sky,-53.15,-70.9167,Hotel Hain
279,Chapais,CA,35.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
281,Atasu,KZ,39.49,overcast clouds,48.6814,71.6433,Dostyk
285,Bud,US,47.46,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
290,Kachiry,KZ,40.73,overcast clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
298,Petropavlovsk-Kamchatskiy,RU,32.59,overcast clouds,53.0452,158.6483,The Hotel Petropavlovsky
302,Dolinsk,RU,36.32,overcast clouds,47.35,142.8,"Gostinitsa ""Yubileynaya"""
322,Fairbanks,US,42.76,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
324,Roald,NO,39.76,few clouds,62.5833,6.1333,Flem Cabins
331,Ushuaia,AR,38.86,few clouds,-54.8,-68.3,Albatross Hotel
334,College,US,42.21,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
346,Ryotsu,JP,43.25,scattered clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
375,Alzamay,RU,30.58,few clouds,55.5562,98.6644,Pallada
377,Tigil,RU,30.9,snow,57.8,158.6667,Tigil'
379,Norden,DE,42.96,overcast clouds,53.6,7.2,Hotel Aquarius
380,Charleville-Mezieres,FR,43.77,overcast clouds,49.7667,4.7167,Hôtel Kyriad
383,Thyboron,DK,38.08,overcast clouds,56.6985,8.2124,Thyborøn Hotel
387,Marfino,RU,44.87,clear sky,55.7028,37.3822,Nemchinovka-Park
389,Kijang,KR,47.93,clear sky,35.2442,129.2139,Samyang Beach Villa
396,Bulgan,MN,37.08,scattered clouds,48.8125,103.5347,Unitel Булган салбар
399,Grindavik,IS,30.15,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
