City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,44.71,65,40,44.87,CL,2022-04-03 15:45:26
1,Puerto Ayora,-0.7393,-90.3518,84.16,78,89,10.6,EC,2022-04-03 15:47:01
2,Alindao,5.0267,21.2088,86.81,48,86,5.44,CF,2022-04-03 15:47:02
3,Saldanha,-33.0117,17.9442,73.45,68,0,6.69,ZA,2022-04-03 15:47:02
4,Albany,42.6001,-73.9662,46.17,65,100,1.01,US,2022-04-03 15:44:06
5,Cape Town,-33.9258,18.4232,73.11,66,40,12.66,ZA,2022-04-03 15:42:35
6,Chuy,-33.6971,-53.4616,72.3,66,100,11.86,UY,2022-04-03 15:47:02
7,Valleyview,55.0667,-117.2859,30.24,64,75,13.8,CA,2022-04-03 15:47:03
8,Barrow,71.2906,-156.7887,-7.58,71,100,12.66,US,2022-04-03 15:47:03
9,Rikitea,-23.1203,-134.9692,76.1,64,44,9.04,PF,2022-04-03 15:47:03
10,Ushuaia,-54.8,-68.3,44.22,81,40,25.32,AR,2022-04-03 15:44:52
11,Barstow,34.8986,-117.0228,61.16,51,100,9.75,US,2022-04-03 15:47:04
12,Saint-Philippe,-21.3585,55.7679,74.79,88,100,16.13,RE,2022-04-03 15:47:04
13,Kapaa,22.0752,-159.319,72.12,84,20,18.41,US,2022-04-03 15:44:54
14,Jamestown,42.097,-79.2353,34.02,74,100,14.97,US,2022-04-03 15:45:33
15,Qaanaaq,77.484,-69.3632,14.9,74,96,6.44,GL,2022-04-03 15:44:57
16,Axim,4.8699,-2.2405,85.14,73,100,12.12,GH,2022-04-03 15:44:10
17,Ouro Preto Do Oeste,-10.7481,-62.2158,84.34,70,47,1.68,BR,2022-04-03 15:47:05
18,Meadow Lake,34.8014,-106.5436,65.84,26,43,10.6,US,2022-04-03 15:47:05
19,Airai,-8.9266,125.4092,57.88,84,82,1.48,TL,2022-04-03 15:47:05
20,Vieux-Habitants,16.0589,-61.7659,81.97,60,21,13.6,GP,2022-04-03 15:47:05
21,Nemuro,43.3236,145.575,35.44,85,0,15.3,JP,2022-04-03 15:47:06
22,Castro,-24.7911,-50.0119,66.06,86,100,7.47,BR,2022-04-03 15:45:02
23,Auki,-8.7676,160.7034,77.5,87,87,8.03,SB,2022-04-03 15:46:11
24,Exeter,50.7236,-3.5275,51.85,47,0,5.75,GB,2022-04-03 15:47:06
25,Tuatapere,-46.1333,167.6833,47.89,92,60,2.66,NZ,2022-04-03 15:47:06
26,Lakes Entrance,-37.8811,147.981,58.15,94,100,23.24,AU,2022-04-03 15:47:07
27,Mehamn,71.0357,27.8492,28.35,59,75,13.8,NO,2022-04-03 15:47:07
28,Longyearbyen,78.2186,15.6401,8.44,61,43,20.71,SJ,2022-04-03 15:47:07
29,Nosy Varika,-20.5833,48.5333,76.01,84,1,8.14,MG,2022-04-03 15:47:08
30,Karratha,-20.7377,116.8463,82.71,70,0,11.72,AU,2022-04-03 15:47:08
31,Torbay,47.6666,-52.7314,41.58,81,97,11.99,CA,2022-04-03 15:47:08
32,Busselton,-33.65,115.3333,63.09,82,66,14.81,AU,2022-04-03 15:47:09
33,Nouakchott,18.0858,-15.9785,71.53,69,44,20.89,MR,2022-04-03 15:47:09
34,Imbituba,-28.24,-48.6703,74.82,87,93,11.27,BR,2022-04-03 15:47:09
35,Kenai,60.5544,-151.2583,30.15,88,0,3.44,US,2022-04-03 15:47:09
36,Pavilosta,56.8879,21.1859,39.11,77,43,12.57,LV,2022-04-03 15:47:10
37,Dingle,10.9995,122.6711,76.1,87,60,6.44,PH,2022-04-03 15:47:10
38,Grand Gaube,-20.0064,57.6608,79.38,78,77,7.0,MU,2022-04-03 15:47:10
39,Tasiilaq,65.6145,-37.6368,32.16,86,100,2.77,GL,2022-04-03 15:47:11
40,Mahebourg,-20.4081,57.7,79.25,78,75,12.66,MU,2022-04-03 15:47:11
41,Barranca,-10.75,-77.7667,72.27,73,76,8.48,PE,2022-04-03 15:47:11
42,Dikson,73.5069,80.5464,-0.94,99,86,9.71,RU,2022-04-03 15:46:13
43,Kirensk,57.7853,108.1119,4.78,98,92,3.24,RU,2022-04-03 15:47:12
44,Laerdalsoyri,61.098,7.4816,39.94,86,75,24.16,NO,2022-04-03 15:47:12
45,Mataura,-46.1927,168.8643,44.96,98,57,1.61,NZ,2022-04-03 15:47:13
46,Ipero,-23.3503,-47.6886,87.46,58,35,7.02,BR,2022-04-03 15:43:58
47,Donghai,22.9459,115.642,59.63,69,0,8.84,CN,2022-04-03 15:47:13
48,Bredasdorp,-34.5322,20.0403,65.55,74,62,9.86,ZA,2022-04-03 15:45:05
49,Hobart,-42.8794,147.3294,57.06,93,100,4.61,AU,2022-04-03 15:43:48
50,Kununurra,-15.7667,128.7333,71.58,78,11,0.0,AU,2022-04-03 15:47:14
51,Sorland,67.667,12.6934,33.66,74,90,21.05,NO,2022-04-03 15:47:14
52,Atuona,-9.8,-139.0333,79.27,71,90,23.33,PF,2022-04-03 15:45:19
53,Clyde River,70.4692,-68.5914,10.63,92,20,8.05,CA,2022-04-03 15:47:15
54,Morros,-9.4467,-46.3003,87.15,48,28,7.92,BR,2022-04-03 15:47:15
55,Prado,-17.3411,-39.2208,84.83,58,23,8.3,BR,2022-04-03 15:47:15
56,Raudeberg,61.9875,5.1352,39.87,88,100,3.44,NO,2022-04-03 15:43:14
57,Olinda,-8.0089,-34.8553,80.33,89,75,6.91,BR,2022-04-03 15:47:16
58,Hermanus,-34.4187,19.2345,70.81,66,24,13.02,ZA,2022-04-03 15:47:16
59,Talnakh,69.4865,88.3972,2.62,98,98,4.07,RU,2022-04-03 15:47:16
60,Avarua,-21.2078,-159.775,73.45,100,100,1.14,CK,2022-04-03 15:45:10
61,Upernavik,72.7868,-56.1549,18.21,79,75,6.62,GL,2022-04-03 15:47:17
62,Tuktoyaktuk,69.4541,-133.0374,-29.2,75,20,4.61,CA,2022-04-03 15:47:17
63,Hedaru,-4.5,37.9,80.4,53,95,6.17,TZ,2022-04-03 15:47:17
64,Cidreira,-30.1811,-50.2056,69.31,90,100,13.98,BR,2022-04-03 15:46:03
65,Kasongo-Lunda,-6.4667,16.8167,81.5,71,39,1.45,CD,2022-04-03 15:47:17
66,Yar-Sale,66.8333,70.8333,6.15,96,27,7.58,RU,2022-04-03 15:47:18
67,Lebu,-37.6167,-73.65,56.05,60,7,10.83,CL,2022-04-03 15:46:17
68,Silver City,32.7701,-108.2803,64.69,26,0,9.22,US,2022-04-03 15:47:18
69,Tiksi,71.6872,128.8694,4.68,98,100,7.85,RU,2022-04-03 15:46:44
70,Kodiak,57.79,-152.4072,27.91,86,0,0.0,US,2022-04-03 15:47:19
71,Cayenne,4.9333,-52.3333,82.09,1,75,5.75,GF,2022-04-03 15:47:19
72,Kalianget,-7.05,113.9333,80.83,76,79,2.62,ID,2022-04-03 15:47:19
73,Coihaique,-45.5752,-72.0662,49.95,53,75,8.05,CL,2022-04-03 15:46:42
74,Hithadhoo,-0.6,73.0833,83.75,69,33,4.79,MV,2022-04-03 15:42:36
75,Asyut,27.181,31.1837,89.78,6,100,10.25,EG,2022-04-03 15:47:20
76,Arauco,-37.2463,-73.3175,60.98,41,4,6.22,CL,2022-04-03 15:46:55
77,Thompson,55.7435,-97.8558,24.96,68,75,5.75,CA,2022-04-03 15:45:07
78,Paamiut,61.994,-49.6678,35.31,77,95,4.56,GL,2022-04-03 15:43:20
